"Req_Finish_Fabrics","Fabric_Allowance","Rec_Beam_length.yds.","Shrink_allow","Req_grey_fabric","Req_beam_length.yds.","Total_Pdn.yds.","Rejection","warp_count","weft_count","epi","ppi"
31300,6,38286.936,12.5,33297.8723404255,34797.6511029632,27646,285,80,80,110,80
10450,7,13057.584,14.5,11236.5591397849,12017.3504320565,11019,39,40,40,110,90
900,11.5,1902.864,12.5,1016.94915254237,1062.75384318359,1528,0,40,40,110,80
8000,8,10093.928,14,8695.65217391304,9245.81515914267,8944,58,40,40,130,80
3500,8.1,69146.1408,9.1,3808.48748639826,3831.1587514257,59367,1043,50,50,140,70
1300,11.5,1651.336,14,1468.92655367232,1561.86369072523,1394,0,40,40,130,80
1240,13.5,13320.048,11.5,1433.52601156069,1481.16624258727,11196,203,40,40,120,70
264,20,2876.168,14.5,330,352.93060742566,2290,73,40,40,130,90
356,19,2477.004,14.5,439.506172839506,470.046001659315,2031,49,40,40,130,80
62800,7,291351.444,14.5,67526.8817204301,72219.101161067,239970,858,40,40,110,90
1000,15,4188.488,13.5,1176.47058823529,1243.67374258988,3508,42,30,30,110,70
1100,14.4,33039.8432,13.6,1285.04672897196,1360.0243260578,27036,290,30,30,110,70
5800,8,7545.84,14.5,6304.34782608696,6742.41608388942,6331,19,40,40,130,90
34820,7,37975.26,14.5,37440.8602150538,40042.5016310247,31687,162,40,40,110,90
30615,7,82556.9576,14.5,32919.3548387097,35206.8118160201,67180,338,40,40,110,90
24900,7,69634.98,14.5,26774.1935483871,28634.6436132256,57791,472,40,40,110,90
6700,7,32353.0624,14.5,7204.30107526882,7704.90410476351,26074,132,40,40,110,90
8950,7,47945.6112,14.5,9623.65591397849,10292.3719011393,39927,268,40,40,110,90
20700,8,24917.676,9,22500,22609.0661350354,21421,369,50,50,140,70
3500,8,4366.7448,12,3804.34782608696,3953.11131094026,3701,4,50,50,100,90
1660,7,2187.2,14.5,1784.94623655914,1908.97624088171,1770,22,40,40,130,90
2450,7,3193.312,14.5,2634.40860215054,2817.46493383143,2620,47,40,40,130,90
4860,8,4899.328,11,5282.60869565217,5427.50126954392,346,0,50,50,100,80
4860,7,5987.46,13.5,5225.8064516129,5524.3185275686,3373,34,50,50,100,80
4860,8,5952.4648,11,5282.60869565217,5427.50126954392,1288,33,50,50,100,80
4800,7,8202,14.5,5161.29032258064,5519.93129893505,6438,0,40,40,110,90
2100,7.9,2504.344,10.3,2280.13029315961,2324.38850989889,1651,23,40,40,92,70
2975,8.2,3663.56,10.2,3240.74074074074,3299.96588853547,1352,12,40,40,110,70
2975,8.18,3636.22,10.21,3240.03485079503,3299.61453868976,455,0,40,40,110,70
2975,8.2,3619.816,10.2,3240.74074074074,3299.96588853547,1140,0,40,40,110,70
28968,7,37340.972,14.5,31148.3870967742,33312.785389073,14951,123,40,40,110,90
27868,8,35808.8384,14.5,30291.3043478261,32396.146797557,20151,162,40,40,110,90
43920,7,40610.836,13.5,47225.8064516129,49923.4711380274,14637,71,40,40,120,80
8200,7,9804.124,10,8817.20430107527,8958.38850389668,5979,4,40,40,110,70
23700,7,16272.768,13.5,25483.8709677419,26939.5780048098,8549,21,30,30,110,70
14900,7,18624.008,13.5,16021.5053763441,16936.6967203235,15237,87,30,30,110,70
1300,14.2,1782.568,16,1515.15151515152,1649.37070569843,1481,39,40,40,130,90
8890,7,7037.316,14.55,9559.13978494624,10229.3548387557,429,0,40,40,110,90
2840,7.2,3619.816,14.7,3060.34482758621,3280.67214425678,1061,13,40,40,110,90
57000,7,58316.22,14.5,61290.3225806452,65549.1841748538,17161,33,40,40,110,90
33900,7,16502.424,14.55,36451.6129032258,39007.326100542,2171,16,40,40,110,90
78600,7,16535.232,14.5,84516.1290322581,90388.8750200615,2406,4,40,40,110,90
1500,10.7,1968.48,14.7,1679.73124300112,1800.66228128221,1609,7,40,40,130,80
1200,13.1,1596.656,14.1,1380.89758342923,1469.97451084778,1294,0,40,40,130,80
1200,13,1607.592,14.2,1379.31034482759,1469.99617271797,1015,0,40,40,130,80
1200,13,1492.764,14.2,1379.31034482759,1469.99617271797,114,0,40,40,100,70
700,13.9,869.412,12.5,813.008130081301,849.62705620368,734,0,40,40,100,70
25490,7,32463.516,14.5,27408.6021505376,29313.1351687197,10813,4,40,40,110,90
41215,7,11567.0072,12.5,44317.2043010753,46313.3078702845,1485,14,40,40,120,80
40085,7,13998.08,12.51,43102.1505376344,45048.6749511204,633,0,40,40,120,80
18400,7,5577.36,14.5,19784.9462365591,21159.7366459177,750,0,40,40,110,90
850,17,1170.152,15.7,1024.09638554217,1110.84830618321,330,8,40,40,130,90
850,7,131.232,10,913.978494623656,928.613442477095,107,0,40,40,100,70
850,7,131.232,14.5,913.978494623656,977.487834186416,101,0,40,40,120,90
850,7,174.976,14.5,913.978494623656,977.487834186416,142,0,20,20,82,64
850,7,295.272,14.5,913.978494623656,977.487834186416,243,0,40,40,130,100
850,7,131.232,14.5,913.978494623656,977.487834186416,104,0,40,40,110,90
850,7,142.168,14.5,913.978494623656,977.487834186416,104,0,40,40,110,90
850,7,109.36,14.5,913.978494623656,977.487834186416,90,0,30,30,130,80
850,7,153.104,14.5,913.978494623656,977.487834186416,108,0,40,40,110,90
850,7,136.7,14.5,913.978494623656,977.487834186416,110,0,40,40,110,90
850,7,136.7,14.5,913.978494623656,977.487834186416,92,0,40,40,100,70
850,7,180.444,14.5,913.978494623656,977.487834186416,127,0,50,50,120,90
31300,6,38286.936,12.5,33297.8723404255,34797.6511029632,28644,285,80,80,110,80
10450,7,13057.584,14.5,11236.5591397849,12017.3504320565,11019,39,40,40,110,90
900,11.5,1902.864,12.5,1016.94915254237,1062.75384318359,1528,0,40,40,110,80
8000,8,10093.928,14,8695.65217391304,9245.81515914267,8944,58,40,40,130,80
3500,8.1,69146.1408,9.1,3808.48748639826,3831.1587514257,59694,1090,50,50,140,70
1300,11.5,1651.336,14,1468.92655367232,1561.86369072523,1394,0,40,40,130,80
1240,13.5,13320.048,11.5,1433.52601156069,1481.16624258727,11196,203,40,40,120,70
264,20,2876.168,14.5,330,352.93060742566,2290,73,40,40,130,90
356,19,2477.004,14.5,439.506172839506,470.046001659315,2031,49,40,40,130,80
62800,7,292116.964,14.5,67526.8817204301,72219.101161067,241978,864,40,40,110,90
1000,15,4188.488,13.5,1176.47058823529,1243.67374258988,3508,42,30,30,110,70
1100,14.4,33039.8432,13.6,1285.04672897196,1360.0243260578,27036,290,30,30,110,70
5800,8,7545.84,14.5,6304.34782608696,6742.41608388942,6331,19,40,40,130,90
34820,7,37975.26,14.5,37440.8602150538,40042.5016310247,32011,162,40,40,110,90
30615,7,82556.9576,14.5,32919.3548387097,35206.8118160201,68150,338,40,40,110,90
24900,7,69634.98,14.5,26774.1935483871,28634.6436132256,58082,501,40,40,110,90
6700,7,32353.0624,14.5,7204.30107526882,7704.90410476351,26186,132,40,40,110,90
8950,7,47945.6112,14.5,9623.65591397849,10292.3719011393,40055,268,40,40,110,90
20700,8,24917.676,9,22500,22609.0661350354,21456,369,50,50,140,70
3500,8,4366.7448,12,3804.34782608696,3953.11131094026,3701,4,50,50,100,90
1660,7,2187.2,14.5,1784.94623655914,1908.97624088171,1770,22,40,40,130,90
2450,7,3193.312,14.5,2634.40860215054,2817.46493383143,2620,47,40,40,130,90
4860,8,4899.328,11,5282.60869565217,5427.50126954392,693,0,50,50,100,80
4860,7,5987.46,13.5,5225.8064516129,5524.3185275686,3485,34,50,50,100,80
4860,8,5952.4648,11,5282.60869565217,5427.50126954392,1841,33,50,50,100,80
4800,7,8202,14.5,5161.29032258064,5519.93129893505,6598,0,40,40,110,90
2100,7.9,2504.344,10.3,2280.13029315961,2324.38850989889,1767,23,40,40,92,70
2975,8.2,3663.56,10.2,3240.74074074074,3299.96588853547,1576,12,40,40,110,70
2975,8.18,3636.22,10.21,3240.03485079503,3299.61453868976,676,0,40,40,110,70
2975,8.2,3619.816,10.2,3240.74074074074,3299.96588853547,1362,0,40,40,110,70
28968,7,37340.972,14.5,31148.3870967742,33312.785389073,16438,130,40,40,110,90
27868,8,35808.8384,14.5,30291.3043478261,32396.146797557,21332,171,40,40,110,90
43920,7,40610.836,13.5,47225.8064516129,49923.4711380274,16108,74,40,40,120,80
8200,7,9804.124,10,8817.20430107527,8958.38850389668,6668,4,40,40,110,70
23700,7,16272.768,13.5,25483.8709677419,26939.5780048098,9205,34,30,30,110,70
14900,7,18624.008,13.5,16021.5053763441,16936.6967203235,15237,92,30,30,110,70
1300,14.2,1782.568,16,1515.15151515152,1649.37070569843,1481,39,40,40,130,90
2840,7.2,3619.816,14.7,3060.34482758621,3280.67214425678,1107,13,40,40,110,90
57000,7,61159.58,14.5,61290.3225806452,65549.1841748538,20795,33,40,40,110,90
33900,7,27482.168,14.55,36451.6129032258,39007.326100542,3400,16,40,40,110,90
78600,7,35979.44,14.5,84516.1290322581,90388.8750200615,4129,87,40,40,110,90
1500,10.7,1968.48,14.7,1679.73124300112,1800.66228128221,1609,7,40,40,130,80
1200,13.1,1596.656,14.1,1380.89758342923,1469.97451084778,1294,0,40,40,130,80
1200,13,1607.592,14.2,1379.31034482759,1469.99617271797,1191,0,40,40,130,80
1150,14.8,1492.764,10.5,1349.76525821596,1379.03950891113,310,0,40,40,100,70
700,13.9,869.412,12.5,813.008130081301,849.62705620368,734,0,40,40,100,70
4000,5.1,3969.768,11,4214.96311907271,4330.57207108232,17,0,40,40,133,72
8890,7,41906.752,14.55,9559.13978494624,10229.3548387557,13603,6,40,40,110,90
41215,7,11567.0072,12.5,44317.2043010753,46313.3078702845,1967,14,40,40,120,80
40085,7,24452.896,12.51,43102.1505376344,45048.6749511204,1559,16,40,40,120,80
18400,7,5577.36,14.5,19784.9462365591,21159.7366459177,1081,0,40,40,110,90
850,17,1170.152,15.7,1024.09638554217,1110.84830618321,492,8,40,40,130,90
850,7,131.232,10,913.978494623656,928.613442477095,107,0,40,40,100,70
850,7,131.232,14.5,913.978494623656,977.487834186416,101,0,40,40,120,90
850,7,174.976,14.5,913.978494623656,977.487834186416,142,0,20,20,82,64
850,7,295.272,14.5,913.978494623656,977.487834186416,243,0,40,40,130,100
850,7,131.232,14.5,913.978494623656,977.487834186416,104,0,40,40,110,90
850,7,142.168,14.5,913.978494623656,977.487834186416,104,0,40,40,110,90
850,7,109.36,14.5,913.978494623656,977.487834186416,90,0,30,30,130,80
850,7,153.104,14.5,913.978494623656,977.487834186416,108,0,40,40,110,90
850,7,136.7,14.5,913.978494623656,977.487834186416,110,0,40,40,110,90
850,7,136.7,14.5,913.978494623656,977.487834186416,92,0,40,40,100,70
850,7,180.444,14.5,913.978494623656,977.487834186416,127,0,50,50,120,90
31300,6,38286.936,12.5,33297.8723404255,34797.6511029632,29900,285,80,80,110,80
10450,7,13057.584,14.5,11236.5591397849,12017.3504320565,11019,39,40,40,110,90
900,11.5,1902.864,12.5,1016.94915254237,1062.75384318359,1528,0,40,40,110,80
8000,8,10093.928,14,8695.65217391304,9245.81515914267,8944,58,40,40,130,80
3500,8.1,69146.1408,9.1,3808.48748639826,3831.1587514257,59724,1094,50,50,140,70
1300,11.5,1651.336,14,1468.92655367232,1561.86369072523,1394,0,40,40,130,80
1240,13.5,13320.048,11.5,1433.52601156069,1481.16624258727,11196,203,40,40,120,70
264,20,2876.168,14.5,330,352.93060742566,2290,73,40,40,130,90
356,19,2477.004,14.5,439.506172839506,470.046001659315,2031,49,40,40,130,80
62800,7,292116.964,14.5,67526.8817204301,72219.101161067,244580,900,40,40,110,90
1000,15,4188.488,13.5,1176.47058823529,1243.67374258988,3508,42,30,30,110,70
1100,14.4,33039.8432,13.6,1285.04672897196,1360.0243260578,27036,290,30,30,110,70
5800,8,7545.84,14.5,6304.34782608696,6742.41608388942,6331,19,40,40,130,90
34820,7,37975.26,14.5,37440.8602150538,40042.5016310247,32011,162,40,40,110,90
30615,7,82556.9576,14.5,32919.3548387097,35206.8118160201,69075,341,40,40,110,90
24900,7,69634.98,14.5,26774.1935483871,28634.6436132256,58218,505,40,40,110,90
6700,7,32353.0624,14.5,7204.30107526882,7704.90410476351,26458,132,40,40,110,90
8950,7,47945.6112,14.5,9623.65591397849,10292.3719011393,40055,284,40,40,110,90
20700,8,24917.676,9,22500,22609.0661350354,21456,369,50,50,140,70
3500,8,4366.7448,12,3804.34782608696,3953.11131094026,3701,4,50,50,100,90
1660,7,2187.2,14.5,1784.94623655914,1908.97624088171,1770,22,40,40,130,90
2450,7,3193.312,14.5,2634.40860215054,2817.46493383143,2620,47,40,40,130,90
4860,8,4899.328,11,5282.60869565217,5427.50126954392,1417,0,50,50,100,80
4860,7,5987.46,13.5,5225.8064516129,5524.3185275686,3750,34,50,50,100,80
4860,8,5952.4648,11,5282.60869565217,5427.50126954392,2867,40,50,50,100,80
4800,7,8202,14.5,5161.29032258064,5519.93129893505,6774,0,40,40,110,90
2100,7.9,2504.344,10.3,2280.13029315961,2324.38850989889,2018,23,40,40,92,70
2975,8.2,3663.56,10.2,3240.74074074074,3299.96588853547,2032,12,40,40,110,70
2975,8.18,3636.22,10.21,3240.03485079503,3299.61453868976,1129,0,40,40,110,70
2975,8.2,3619.816,10.2,3240.74074074074,3299.96588853547,1758,0,40,40,110,70
28968,7,37340.972,14.5,31148.3870967742,33312.785389073,19420,139,40,40,110,90
27868,8,35808.8384,14.5,30291.3043478261,32396.146797557,23749,201,40,40,110,90
43920,7,40610.836,13.5,47225.8064516129,49923.4711380274,18928,89,40,40,120,80
8200,7,9804.124,10,8817.20430107527,8958.38850389668,7847,7,40,40,110,70
23700,7,16272.768,13.5,25483.8709677419,26939.5780048098,10389,60,30,30,110,70
14900,7,18624.008,13.5,16021.5053763441,16936.6967203235,15237,92,30,30,110,70
1300,14.2,1782.568,16,1515.15151515152,1649.37070569843,1481,39,40,40,130,90
17250,6,5293.024,12,18351.0638297872,19068.6554725295,5,0,80,40,110,80
2840,7.2,3619.816,14.7,3060.34482758621,3280.67214425678,1483,13,40,40,110,90
57000,7,61159.58,14.5,61290.3225806452,65549.1841748538,28059,45,40,40,110,90
33900,7,27482.168,14.55,36451.6129032258,39007.326100542,6623,29,40,40,110,90
78600,7,55204.928,14.5,84516.1290322581,90388.8750200615,9540,128,40,40,110,90
1500,10.7,1968.48,14.7,1679.73124300112,1800.66228128221,1609,7,40,40,130,80
1200,13.1,1596.656,14.1,1380.89758342923,1469.97451084778,1294,0,40,40,130,80
1200,13,1607.592,14.2,1379.31034482759,1469.99617271797,1344,0,40,40,130,80
2600,8.1,3313.608,14.3,2829.16213275299,3018.68997936972,205,0,40,40,130,80
1150,14.8,1492.764,10.5,1349.76525821596,1379.03950891113,692,0,40,40,100,70
700,13.9,869.412,12.5,813.008130081301,849.62705620368,734,0,40,40,100,70
4000,5.1,3969.768,11,4214.96311907271,4330.57207108232,312,8,40,40,133,72
8890,7,41906.752,14.55,9559.13978494624,10229.3548387557,18340,13,40,40,110,90
47900,7,2734,14.5,51505.376344086,55084.3144206227,95,0,40,40,110,90
41215,7,15427.4152,12.5,44317.2043010753,46313.3078702845,3101,14,40,40,120,80
40085,7,42010.644,12.51,43102.1505376344,45048.6749511204,5243,41,40,40,120,80
18400,7,13943.4,14.5,19784.9462365591,21159.7366459177,2002,0,40,40,110,90
850,17,1170.152,15.7,1024.09638554217,1110.84830618321,787,8,40,40,130,90
1300,13.4,1727.888,13.6,1501.15473441109,1588.74141301398,44,0,30,30,110,70
118817,7,5785.144,14.5,127760.215053763,136637.849405326,195,0,40,40,110,90
118817,7,131.232,10,127760.215053763,129805.95693506,107,0,40,40,100,70
118817,7,131.232,14.5,127760.215053763,136637.849405326,101,0,40,40,120,90
118817,7,174.976,14.5,127760.215053763,136637.849405326,142,0,20,20,82,64
118817,7,295.272,14.5,127760.215053763,136637.849405326,243,0,40,40,130,100
118817,7,131.232,14.5,127760.215053763,136637.849405326,104,0,40,40,110,90
118817,7,142.168,14.5,127760.215053763,136637.849405326,104,0,40,40,110,90
118817,7,109.36,14.5,127760.215053763,136637.849405326,90,0,30,30,130,80
118817,7,153.104,14.5,127760.215053763,136637.849405326,108,0,40,40,110,90
118817,7,136.7,14.5,127760.215053763,136637.849405326,110,0,40,40,110,90
118817,7,136.7,14.5,127760.215053763,136637.849405326,92,0,40,40,100,70
118817,7,52.4928,14.5,127760.215053763,136637.849405326,34,0,40,40,110,90
118817,7,43.744,14.5,127760.215053763,136637.849405326,28,0,40,40,120,80
118817,7,180.444,14.5,127760.215053763,136637.849405326,114,0,40,40,110,90
118817,7,180.444,14.5,127760.215053763,136637.849405326,127,0,50,50,120,90
31300,6,38286.936,12.5,33297.8723404255,34797.6511029632,30255,285,80,80,110,80
10450,7,13057.584,14.5,11236.5591397849,12017.3504320565,11019,39,40,40,110,90
900,11.5,1902.864,12.5,1016.94915254237,1062.75384318359,1528,0,40,40,110,80
8000,8,10093.928,14,8695.65217391304,9245.81515914267,8944,58,40,40,130,80
1300,11.5,1651.336,14,1468.92655367232,1561.86369072523,1394,0,40,40,130,80
1240,13.5,13320.048,11.5,1433.52601156069,1481.16624258727,11196,203,40,40,120,70
264,20,2876.168,14.5,330,352.93060742566,2290,73,40,40,130,90
356,19,2477.004,14.5,439.506172839506,470.046001659315,2031,49,40,40,130,80
62800,7,292116.964,14.5,67526.8817204301,72219.101161067,245186,906,40,40,110,90
1000,15,4188.488,13.5,1176.47058823529,1243.67374258988,3508,42,30,30,110,70
1100,14.4,33039.8432,13.6,1285.04672897196,1360.0243260578,27036,290,30,30,110,70
5800,8,7545.84,14.5,6304.34782608696,6742.41608388942,6331,19,40,40,130,90
34820,7,37975.26,14.5,37440.8602150538,40042.5016310247,32011,162,40,40,110,90
